Date,Open,High,Low,Close,Adj Close,Volume
2015-12-09,15.372400,15.937100,15.297600,15.729500,15.246091,3580417
2015-12-10,15.754400,15.945400,15.530200,15.779300,15.294361,3414972
2015-12-11,15.604900,15.945400,15.604900,15.654700,15.173591,3385592
2015-12-14,15.629800,15.654700,15.364100,15.447100,14.972370,2198823
2015-12-15,15.447100,15.696300,15.372400,15.472000,14.996506,2185337
2015-12-16,15.314200,15.480300,15.098300,15.405600,14.932146,1847343
2015-12-17,15.613200,15.820800,15.247800,15.330800,14.859645,2418091
2015-12-18,15.114900,15.131500,14.741200,14.766100,14.312299,2962348
2015-12-21,14.832500,15.056800,14.541900,14.815900,14.360570,2849041
2015-12-22,14.890700,15.139800,14.475400,14.708000,14.255986,1563174
2015-12-23,14.890700,15.015300,14.666400,14.915600,14.457205,1932955
2015-12-28,14.957100,15.779300,14.923900,15.779300,15.294361,1960409
2015-12-29,15.887300,16.493500,15.779300,16.493500,15.986613,2131633
2015-12-30,16.493500,17.141300,15.970300,16.111500,15.616351,5007768
2016-01-04,15.779300,15.978600,15.264400,15.588300,15.109230,1797975
2016-01-05,15.596600,15.970300,15.397300,15.671300,15.224172,1934762
2016-01-06,15.447100,15.746100,15.380700,15.530200,15.087097,1362449
2016-01-07,15.496900,15.530200,15.031900,15.148100,14.715899,2184975
2016-01-08,15.148100,15.546800,15.131500,15.247800,14.812754,2255295
2016-01-11,15.256100,15.646400,15.048500,15.330800,14.893388,2188588
2016-01-12,15.447100,15.563400,15.031900,15.031900,14.603016,1785813
2016-01-13,15.198000,15.297600,15.006900,15.031900,14.603016,3756096
2016-01-14,15.181400,15.480300,15.139800,15.289300,14.853071,2583897
2016-01-15,15.198000,15.214600,14.882400,14.998600,14.570665,3017015
2016-01-18,15.040200,15.571700,14.965400,15.447100,15.006370,1210851
2016-01-19,15.588300,15.729500,15.139800,15.272700,14.836944,2454334
2016-01-20,15.189700,15.189700,14.649800,14.699700,14.280293,2329228
2016-01-21,14.600000,14.741200,14.342600,14.649800,14.231818,2227962
2016-01-22,14.782700,14.948800,14.633200,14.716300,14.296419,2935737
2016-01-26,14.433900,14.649800,14.259500,14.367500,13.957572,2351865
2016-01-27,14.276100,15.073400,14.276100,14.791000,14.368989,3582344
2016-01-28,14.699700,15.040200,14.334300,15.040200,14.611078,1784850
2016-01-29,15.198000,15.679600,15.090000,15.480300,15.038621,3512505
2016-02-01,15.297600,15.447100,15.114900,15.272700,14.836944,2652410
2016-02-02,15.123200,15.148100,14.367500,14.367500,13.957572,2347289
2016-02-03,14.575100,14.691400,14.151500,14.450500,14.038204,2919000
2016-02-04,14.674800,14.965400,14.550200,14.649800,14.231818,2932245
2016-02-05,14.699700,14.840900,14.118300,14.218000,13.812337,3021229
2016-02-10,14.110000,14.616600,13.935600,14.616600,14.199564,1094414
2016-02-11,14.458800,14.550200,13.885800,14.276100,13.868780,1888524
2016-02-12,14.409000,14.649800,14.159900,14.442200,14.030141,1769799
2016-02-15,14.732900,14.890700,14.566800,14.674800,14.256104,1584486
2016-02-16,14.616600,15.073400,14.616600,14.965400,14.538411,2093102
